Model,R2,MAE,RMSE,Within_10pct,Within_20pct,Train_R2,Valid_R2,Train_MAE,Valid_MAE,Train_RMSE,Valid_RMSE,Valid_Within_10pct,Valid_Within_20pct
CatBoost,,,,,,0.6297818930458194,0.6163945239718812,736.3237029471933,715.414658107318,1046.481609302776,1021.0916713178526,0.15483870967741936,0.34838709677419355
XGBoost,,,,,,0.6561757901366935,0.6088619395886152,716.126612673831,719.6714616599271,1008.4886142604897,1031.0681549309277,0.17067448680351907,0.3548387096774194
LightGBM,,,,,,0.6756977858011688,0.6036315072320692,693.6067859904081,721.1196930700651,979.4397588481761,1037.9391594372105,0.16304985337243402,0.35131964809384164
HistGradientBoosting,,,,,,0.8111813736299236,0.5645170194538864,542.4255764703818,752.8388466680284,747.3519801777717,1087.947473752924,0.16187683284457477,0.32727272727272727
Extra Trees,,,,,,1.0,0.5229998794423097,7.769434650738785e-12,791.3862457935483,1.1318432065673223e-11,1138.6272653719345,0.15542521994134897,0.30674486803519063
Random Forest Baseline,0.562434747402232,761.2174244263929,1090.5453950901442,0.15425219941348975,0.3096774193548387,,,,,,,,
