iter	Passed	Remaining
369	32917	38255
370	33012	38173
371	33103	38087
372	33193	37999
373	33274	37901
374	33363	37811
375	33454	37725
376	33541	37634
377	33631	37546
378	33730	37468
379	33826	37386
380	33917	37300
381	34011	37216
382	34090	37117
383	34181	37030
384	34279	36950
385	34364	36857
386	34459	36774
387	34554	36692
388	34648	36608
389	34730	36511
390	34828	36431
391	34905	36330
392	34997	36244
393	35083	36152
394	35174	36065
395	35265	35978
396	35345	35880
397	35430	35787
398	35516	35694
399	35614	35614
400	35698	35520
401	35793	35437
402	35888	35354
403	35974	35261
404	36064	35173
405	36144	35075
406	36225	34979
407	36304	34880
408	36394	34792
409	36480	34700
410	36574	34616
411	36659	34523
412	36749	34435
413	36839	34348
414	36929	34260
415	37016	34168
416	37097	34072
417	37177	33975
418	37261	33882
419	37354	33797
420	37447	33711
421	37526	33613
422	37616	33525
423	37697	33429
424	37792	33346
425	37886	33262
426	37969	33168
427	38058	33078
428	38142	32985
429	38229	32895
430	38316	32804
431	38409	32719
432	38502	32633
433	38594	32547
434	38680	32455
435	38776	32373
436	38872	32289
437	38959	32199
438	39051	32112
439	39135	32019
440	39222	31929
441	39305	31835
442	39388	31741
443	39470	31647
444	39556	31556
445	39648	31469
446	39747	31389
447	39837	31300
448	39931	31216
449	40023	31129
450	40114	31042
451	40210	30958
452	40279	30854
453	40370	30766
454	40449	30670
455	40540	30583
456	40627	30492
457	40720	30406
458	40812	30320
459	40895	30226
460	40978	30134
461	41064	30042
462	41154	29954
463	41245	29867
464	41341	29783
465	41452	29710
466	41550	29628
467	41640	29539
468	41735	29454
469	41832	29371
470	41908	29273
471	41997	29184
472	42082	29092
473	42172	29004
474	42270	28922
475	42363	28835
476	42449	28744
477	42544	28659
478	42640	28575
479	42731	28487
480	42819	28397
481	42914	28312
482	43004	28224
483	43093	28135
484	43173	28040
485	43268	27955
486	43357	27866
487	43446	27777
488	43546	27695
489	43630	27603
490	43724	27516
491	43818	27430
492	43903	27339
493	43989	27248
494	44076	27158
495	44162	27067
496	44251	26978
497	44335	26886
498	44415	26791
499	44511	26707
500	44602	26619
501	44692	26530
502	44780	26441
503	44865	26349
504	44958	26262
505	45053	26177
506	45138	26086
507	45227	25997
508	45326	25913
509	45422	25828
510	45516	25742
511	45620	25661
512	45707	25571
513	45790	25478
514	45877	25388
515	45960	25295
516	46053	25209
517	46150	25124
518	46225	25027
519	46311	24937
520	46400	24847
521	46514	24772
522	46619	24691
523	46717	24606
524	46808	24518
525	46896	24428
526	46987	24340
527	47077	24252
528	47169	24164
529	47264	24077
530	47345	23984
531	47441	23898
532	47543	23816
533	47628	23724
534	47714	23634
535	47802	23544
536	47896	23457
537	47984	23367
538	48068	23276
539	48162	23189
540	48248	23098
541	48340	23010
542	48427	22920
543	48509	22827
544	48599	22739
545	48692	22651
546	48778	22561
547	48876	22475
548	48959	22383
549	49046	22293
550	49134	22204
551	49222	22114
552	49307	22023
553	49403	21937
554	49538	21868
555	49633	21781
556	49715	21689
557	49807	21601
558	49896	21511
559	49982	21421
560	50077	21334
561	50160	21242
562	50270	21161
563	50352	21069
564	50438	20978
565	50537	20893
566	50638	20809
567	50749	20728
568	50851	20644
569	50946	20557
570	51047	20472
571	51136	20383
572	51244	20301
573	51350	20217
574	51453	20133
575	51541	20044
576	51637	19957
577	51731	19869
578	51829	19782
579	51924	19695
580	52014	19606
581	52103	19516
582	52182	19423
583	52275	19334
584	52356	19242
585	52438	19149
586	52528	19060
587	52623	18973
588	52712	18883
589	52799	18792
590	52888	18703
591	52984	18616
592	53078	18528
593	53178	18442
594	53282	18357
595	53414	18282
596	53509	18195
597	53618	18111
598	53710	18023
599	53797	17932
600	53900	17847
601	53990	17757
602	54086	17669
603	54168	17577
604	54264	17490
605	54354	17400
606	54440	17309
607	54539	17223
608	54629	17133
609	54718	17043
610	54810	16954
611	54901	16865
612	54985	16773
613	55077	16684
614	55167	16595
615	55254	16504
616	55342	16414
617	55439	16326
618	55530	16237
619	55627	16149
620	55733	16064
621	55830	15977
622	55909	15884
623	55992	15792
624	56074	15700
625	56161	15610
626	56252	15521
627	56351	15433
628	56440	15344
629	56539	15256
630	56615	15163
631	56707	15074
632	56793	14983
633	56900	14898
634	56992	14809
635	57071	14716
636	57166	14628
637	57264	14540
638	57352	14450
639	57461	14365
640	57555	14276
641	57647	14187
642	57740	14098
643	57856	14014
644	57943	13924
645	58030	13833
646	58120	13744
647	58229	13658
648	58323	13569
649	58413	13480
650	58496	13388
651	58595	13300
652	58698	13213
653	58793	13125
654	58881	13034
655	58974	12945
656	59059	12854
657	59160	12767
658	59275	12682
659	59371	12593
660	59464	12504
661	59553	12414
662	59641	12324
663	59739	12235
664	59847	12149
665	59936	12059
666	60014	11966
667	60106	11877
668	60191	11786
669	60278	11695
670	60365	11605
671	60461	11516
672	60546	11425
673	60649	11338
674	60741	11248
675	60828	11157
676	60915	11067
677	61009	10978
678	61107	10889
679	61187	10797
680	61286	10709
681	61383	10620
682	61469	10529
683	61558	10439
684	61654	10350
685	61759	10263
686	61856	10174
687	61943	10083
688	62030	9993
689	62125	9904
690	62217	9814
691	62311	9724
692	62398	9634
693	62492	9544
694	62582	9454
695	62674	9365
696	62762	9274
697	62853	9184
698	62930	9092
699	63007	9001
700	63093	8910
701	63181	8820
702	63264	8729
703	63353	8639
704	63436	8548
705	63539	8459
706	63630	8370
707	63728	8281
708	63819	8191
709	63909	8101
710	64000	8011
711	64083	7920
712	64169	7829
713	64259	7739
714	64351	7650
715	64442	7560
716	64526	7469
717	64609	7378
718	64699	7288
719	64790	7198
720	64876	7108
721	64961	7018
722	65049	6927
723	65143	6838
724	65231	6748
725	65328	6658
726	65429	6569
727	65524	6480
728	65612	6390
729	65703	6300
730	65786	6209
731	65880	6120
732	65961	6029
733	66055	5939
734	66136	5848
735	66229	5759
736	66332	5670
737	66423	5580
738	66508	5489
739	66594	5399
740	66694	5310
741	66782	5220
742	66872	5130
743	66960	5040
744	67051	4950
745	67129	4859
746	67207	4768
747	67282	4677
748	67372	4587
749	67459	4497
750	67556	4407
751	67640	4317
752	67725	4227
753	67808	4136
754	67903	4047
755	67990	3957
756	68080	3867
757	68167	3777
758	68249	3686
759	68334	3596
760	68428	3506
761	68526	3417
762	68622	3327
763	68710	3237
764	68794	3147
765	68876	3057
766	68966	2967
767	69053	2877
768	69139	2787
769	69222	2696
770	69323	2607
771	69399	2517
772	69475	2426
773	69563	2336
774	69650	2246
775	69737	2156
776	69821	2066
777	69917	1977
778	70008	1887
779	70089	1797
780	70178	1707
781	70267	1617
782	70358	1527
783	70440	1437
784	70529	1347
785	70616	1257
786	70705	1167
787	70795	1078
788	70876	988
789	70964	898
790	71058	808
791	71146	718
792	71227	628
793	71314	538
794	71389	448
795	71480	359
796	71566	269
797	71654	179
798	71754	89
799	71838	0
