iter	RMSE
158	1063.262381
159	1063.181532
160	1063.053178
161	1062.991991
162	1062.804292
163	1062.664012
164	1062.657664
165	1062.535217
166	1062.459162
167	1062.385341
168	1062.319853
169	1062.185359
170	1062.071519
171	1062.029228
172	1061.973447
173	1061.814408
174	1061.783114
175	1061.566257
176	1061.440287
177	1061.398817
178	1061.331368
179	1061.245061
180	1061.18117
181	1060.801491
182	1060.778429
183	1060.732847
184	1060.66838
185	1060.641118
186	1060.616979
187	1060.563327
188	1060.55055
189	1060.497095
190	1060.413063
191	1060.39549
192	1060.353261
193	1060.292804
194	1060.275652
195	1060.181376
196	1060.132955
197	1059.95124
198	1059.903378
199	1059.729697
200	1059.707633
201	1059.669755
202	1059.669755
203	1059.66682
204	1059.535514
205	1059.372053
206	1059.32938
207	1059.325147
208	1059.261907
209	1059.074142
210	1059.062002
211	1058.979496
212	1058.953012
213	1058.950809
214	1058.812544
215	1058.729531
216	1058.626639
217	1058.579731
218	1058.563197
219	1058.552757
220	1058.366057
221	1058.321123
222	1058.250906
223	1058.079549
224	1057.914086
225	1057.81835
226	1057.794438
227	1057.685322
228	1057.652926
229	1057.645321
230	1057.508968
231	1057.3911
232	1057.181795
233	1057.073896
234	1056.995568
235	1056.942265
236	1056.823727
237	1056.796834
238	1056.611678
239	1056.522719
240	1056.28229
241	1056.023405
242	1055.88249
243	1055.794938
244	1055.729761
245	1055.644742
246	1055.640975
247	1055.626993
248	1055.599184
249	1055.337736
250	1055.291464
251	1055.213775
252	1055.09753
253	1055.061487
254	1054.906705
255	1054.904601
256	1054.842039
257	1054.818424
258	1054.740826
259	1054.734344
260	1054.640527
261	1054.566064
262	1054.439399
263	1054.370569
264	1054.343939
265	1054.334317
266	1054.332345
267	1054.234439
268	1054.222405
269	1054.211666
270	1054.172422
271	1054.165672
272	1054.125014
273	1054.1119
274	1054.043241
275	1054.01753
276	1053.882575
277	1053.871906
278	1053.760549
279	1053.760549
280	1053.68793
281	1053.478015
282	1053.476301
283	1053.471681
284	1053.471681
285	1053.457939
286	1053.414355
287	1053.335397
288	1053.321326
289	1053.292229
290	1053.177759
291	1052.912513
292	1052.911089
293	1052.813747
294	1052.806616
295	1052.731163
296	1052.718908
297	1052.604318
298	1052.503975
299	1052.346982
300	1052.210375
301	1052.173086
302	1052.14272
303	1052.141579
304	1052.129664
305	1052.054264
306	1052.01241
307	1051.951741
308	1051.913015
309	1051.894218
310	1051.638971
311	1051.554402
312	1051.357742
313	1051.344782
314	1051.313486
315	1051.230222
316	1051.177588
317	1050.967542
318	1050.896464
319	1050.790306
320	1050.742435
321	1050.659698
322	1050.462697
323	1050.169531
324	1050.037977
325	1049.979227
326	1049.961483
327	1049.946651
328	1049.681453
329	1049.592161
330	1049.441118
331	1049.374506
332	1049.374504
333	1049.328621
334	1049.31969
335	1049.237612
336	1049.166031
337	1049.143351
338	1049.124705
339	1049.086491
340	1049.062083
341	1048.975849
342	1048.952544
343	1048.894934
344	1048.856449
345	1048.825284
346	1048.713396
347	1048.563174
348	1048.523379
349	1048.462318
350	1048.426904
351	1048.402205
352	1048.371566
353	1048.345286
354	1048.331278
355	1048.276974
356	1048.264788
357	1048.184453
358	1048.147296
359	1048.080813
360	1048.016185
361	1047.944234
362	1047.852154
363	1047.626048
364	1047.615839
365	1047.615398
366	1047.612512
367	1047.600237
368	1047.479672
369	1047.459592
370	1047.400065
371	1047.367686
372	1047.331643
373	1047.293119
374	1047.188996
375	1047.16714
376	1047.155189
377	1047.097884
378	1047.041723
379	1046.934398
380	1046.900249
381	1046.771748
382	1046.758873
383	1046.672284
384	1046.532027
385	1046.449603
386	1046.341758
387	1046.31243
388	1046.28303
389	1046.262454
390	1046.230417
391	1046.22802
392	1045.984365
393	1045.973133
394	1045.893237
395	1045.853967
396	1045.852459
397	1045.830011
398	1045.769621
399	1045.701028
400	1045.625901
401	1045.601153
402	1045.568843
403	1045.567034
404	1045.478862
405	1045.375241
406	1045.294624
407	1045.272344
408	1045.152345
409	1045.150426
410	1045.045136
411	1045.002241
412	1044.977717
413	1044.890115
414	1044.763158
415	1044.745379
416	1044.731962
417	1044.695487
418	1044.669806
419	1044.576065
420	1044.477782
421	1044.37964
422	1044.369167
423	1044.310729
424	1044.240712
425	1044.200866
426	1044.164576
427	1044.162389
428	1044.069611
429	1043.881931
430	1043.678724
431	1043.634757
432	1043.582143
433	1043.565828
434	1043.562989
435	1043.364655
436	1043.340841
437	1043.31979
438	1043.283155
439	1043.199568
440	1043.133889
441	1043.124511
442	1043.110384
443	1043.087018
444	1043.041845
445	1043.007677
446	1042.966204
447	1042.908333
448	1042.850247
449	1042.759526
450	1042.68594
451	1042.656819
452	1042.656244
453	1042.576072
454	1042.549858
455	1042.527655
456	1042.480627
457	1042.3994
458	1042.312198
459	1042.244565
460	1042.105157
461	1042.082258
462	1042.057258
463	1041.996377
464	1041.911913
465	1041.833907
466	1041.711128
467	1041.689029
468	1041.669678
469	1041.528134
470	1041.51933
471	1041.510907
472	1041.489367
473	1041.423479
474	1041.381676
475	1041.197995
476	1041.050777
477	1040.924169
478	1040.902171
479	1040.888914
480	1040.853715
481	1040.7637
482	1040.737358
483	1040.730418
484	1040.702905
485	1040.674572
486	1040.648528
487	1040.633376
488	1040.390549
489	1040.390282
490	1040.264828
491	1040.208369
492	1040.139753
493	1040.105429
494	1040.076245
495	1040.021756
496	1040.011455
497	1040.003549
498	1039.988377
499	1039.815814
500	1039.732044
501	1039.715214
502	1039.51971
503	1039.502089
504	1039.349442
505	1039.318499
506	1039.294588
507	1039.269862
508	1039.247633
509	1039.211484
510	1039.024745
511	1038.994642
512	1038.967969
513	1038.956862
514	1038.712198
515	1038.704274
516	1038.692384
517	1038.524688
518	1038.509009
519	1038.485323
520	1038.47888
521	1038.405658
522	1038.190491
523	1038.091614
524	1037.828001
525	1037.666693
526	1037.63867
527	1037.611469
528	1037.5368
529	1037.464355
530	1037.421771
531	1037.408322
532	1037.330939
533	1037.322096
534	1037.198846
535	1036.973059
536	1036.909267
537	1036.624868
538	1036.624613
539	1036.61219
540	1036.591979
541	1036.557114
542	1036.495501
543	1036.444027
544	1036.408756
545	1036.359478
546	1036.344721
547	1036.213758
548	1036.192519
549	1036.168878
550	1036.088563
551	1036.05421
552	1036.016774
553	1035.871582
554	1035.821734
555	1035.641999
556	1035.60032
557	1035.592198
558	1035.571579
559	1035.570395
560	1035.421164
561	1035.389034
562	1035.278104
563	1035.266204
564	1035.247707
565	1035.166937
566	1035.027152
567	1035.00406
568	1034.732568
569	1034.731456
570	1034.717023
571	1034.71595
572	1034.615188
573	1034.561879
574	1034.536254
575	1034.52345
576	1034.293015
577	1034.273154
578	1034.205745
579	1034.044395
580	1034.02798
581	1034.021573
582	1034.020544
583	1034.013383
584	1034.007921
585	1033.92956
586	1033.888479
587	1033.771459
588	1033.753093
589	1033.584102
590	1033.505233
591	1033.408876
592	1033.292501
593	1033.061013
594	1033.036101
595	1032.824779
596	1032.782132
597	1032.707732
598	1032.509692
599	1032.508749
600	1032.316214
601	1032.239848
602	1032.125341
603	1032.124441
604	1032.074073
605	1031.806058
606	1031.786032
607	1031.646918
608	1031.633328
609	1031.499706
610	1031.482184
611	1031.373863
612	1031.330031
613	1031.215631
614	1031.192741
615	1031.145026
616	1031.076004
617	1030.93396
618	1030.877044
619	1030.775847
620	1030.72312
621	1030.623405
622	1030.618414
623	1030.606195
624	1030.518671
625	1030.446402
626	1030.344668
627	1030.238227
628	1030.219778
629	1030.049655
630	1030.035621
631	1029.969513
632	1029.95126
633	1029.804017
634	1029.618529
635	1029.586707
636	1029.434712
637	1029.433839
638	1029.341362
639	1029.288897
640	1029.157257
641	1029.128822
642	1029.11195
643	1028.991936
644	1028.921327
645	1028.920529
646	1028.78744
647	1028.777031
648	1028.578658
649	1028.572431
650	1028.514434
651	1028.506065
652	1028.448868
653	1028.398481
654	1028.315152
655	1028.232735
656	1028.177759
657	1028.111562
658	1028.051539
659	1028.008014
660	1027.947904
661	1027.833845
662	1027.721525
663	1027.694251
664	1027.617786
665	1027.602299
666	1027.595426
667	1027.566894
668	1027.521158
669	1027.455047
670	1027.346115
671	1027.121472
672	1027.094488
673	1027.075394
674	1027.065426
675	1027.002539
676	1026.961779
677	1026.952486
678	1026.921682
679	1026.920919
680	1026.882985
681	1026.812817
682	1026.771717
683	1026.740554
684	1026.707169
685	1026.459355
686	1026.383792
687	1026.360927
688	1026.351569
689	1026.239317
690	1026.157108
691	1026.079396
692	1025.972625
693	1025.919386
694	1025.898244
695	1025.886637
696	1025.846083
697	1025.766235
698	1025.715325
699	1025.659862
700	1025.57647
701	1025.559099
702	1025.515865
703	1025.397923
704	1025.388521
705	1025.30307
706	1025.262339
707	1025.122716
708	1025.017253
709	1024.972897
710	1024.837056
711	1024.825847
712	1024.710257
713	1024.669533
714	1024.537216
715	1024.510092
716	1024.50457
717	1024.495566
718	1024.39635
719	1024.2803
720	1024.074826
721	1024.0574
722	1023.899365
723	1023.785422
724	1023.762125
725	1023.677722
726	1023.661059
727	1023.389739
728	1023.386717
729	1023.31905
730	1022.991276
731	1022.917084
732	1022.880164
733	1022.78699
734	1022.770839
735	1022.49479
736	1022.414477
737	1022.152367
738	1022.104953
739	1022.034723
740	1021.898243
741	1021.868774
742	1021.843234
743	1021.756809
744	1021.621805
745	1021.612205
746	1021.603938
747	1021.598727
748	1021.549228
749	1021.5424
750	1021.392517
751	1021.364501
752	1021.254215
753	1021.235283
754	1021.130173
755	1021.117485
756	1021.079524
757	1021.019656
758	1020.993635
759	1020.940304
760	1020.899716
761	1020.788137
762	1020.781602
763	1020.561819
764	1020.543769
765	1020.53188
766	1020.47696
767	1020.433328
768	1020.418585
769	1020.403298
770	1020.287226
771	1020.25285
772	1020.204271
773	1020.201166
774	1020.180844
775	1020.162923
776	1020.140763
777	1020.071671
778	1019.848432
779	1019.843648
780	1019.820452
781	1019.76773
782	1019.743413
783	1019.695814
784	1019.617985
785	1019.533756
786	1019.461532
787	1019.415086
788	1019.352976
789	1019.244325
790	1019.135124
791	1019.055915
792	1019.055222
793	1018.935172
794	1018.934502
795	1018.889899
796	1018.874308
797	1018.801501
798	1018.747269
799	1018.667983
